2,PHYIR2,Physique I,3,48
2,RESIR2,Réseaux I,2,24
3,SYSIR3,Systèmes d'exploitation II,5,72
4,ATLIR4,Atelier Logiciel I,5,48
5,ORGIR5,Organisation des entreprises,2,24
5,ANLIR5,Laboratoire d'analyse III,2,24
5,ATLIR5,Atelier Logiciel II,4,48
